Time,Gender,Accel_Frontal,Accel_Vertical,Accel_Lateral,Id_Antenna,RSSI,Phase,Frequency,Output
0.0,M,0.29548,0.97377,0.08894400000000001,1,-61.0,5.6527,923.75,1
0.5,M,0.29548,0.97377,0.08894400000000001,1,-60.0,1.4297,921.75,1
1.25,M,0.17823,1.0542,0.031928,1,-61.0,6.1221,920.25,1
1.5,M,0.17823,1.0542,0.031928,1,-62.0,5.6128,924.25,1
1.75,M,0.17823,1.0542,0.031928,1,-60.5,2.3976,920.75,1
3.25,M,0.22513000000000002,0.99674,0.054735,3,-64.0,5.3597,922.75,1
3.5,M,0.22513000000000002,0.99674,0.054735,4,-56.0,5.2631,921.25,1
3.75,M,0.22513000000000002,0.99674,0.054735,4,-56.5,6.2586,920.25,1
4.25,M,0.33066,1.0082,0.054735,4,-57.0,5.8767,920.75,1
4.5,M,0.33066,1.0082,0.054735,4,-57.0,0.25156999999999996,923.25,1
4.75,M,0.33066,1.0082,0.054735,1,-60.5,1.8607,922.25,1
5.0,M,0.33066,1.0082,0.054735,1,-61.5,0.7087,923.75,1
5.75,M,0.33066,1.0082,0.054735,4,-56.5,5.438,921.25,1
6.25,M,0.31893,0.97377,0.12315,4,-57.0,1.784,924.75,1
6.5,M,0.31893,0.97377,0.12315,1,-61.5,5.957999999999999,920.75,1
7.25,M,0.31893,0.97377,0.12315,1,-65.5,1.5033,925.25,1
8.25,M,0.18995,1.0427,0.043332,1,-61.0,5.2232,921.25,1
9.5,M,0.37756,0.93932,0.15736,4,-57.0,0.24697,923.25,1
9.75,M,0.37756,0.93932,0.15736,1,-65.5,1.5417,925.25,1
10.0,M,0.37756,0.93932,0.15736,1,-61.5,1.5156,921.75,1
11.0,M,0.22513000000000002,1.0082,0.077541,1,-62.0,6.0669,920.25,1
12.25,M,0.36583000000000004,0.96229,0.11175,1,-64.0,4.4884,925.25,1
12.75,M,0.36583000000000004,0.96229,0.11175,1,-66.0,1.0815,925.75,1
13.25,M,0.36583000000000004,0.96229,0.11175,4,-57.0,5.2861,921.25,1
13.5,M,0.36583000000000004,0.96229,0.11175,4,-58.0,2.0126,924.75,1
13.75,M,0.36583000000000004,0.96229,0.11175,4,-57.5,5.9994,920.75,1
14.75,M,0.52999,0.8819100000000001,0.20297,4,-57.5,5.9963,923.75,1
15.0,M,0.52999,0.8819100000000001,0.20297,1,-60.5,1.6812,921.75,1
15.5,M,0.52999,0.8819100000000001,0.20297,1,-60.5,1.9926,921.25,1
16.0,M,0.52999,0.8819100000000001,0.20297,4,-59.0,4.9916,924.75,1
16.5,M,0.52999,0.8819100000000001,0.20297,4,-57.5,5.8276,920.75,1
16.75,M,0.52999,0.8819100000000001,0.20297,4,-57.0,4.3642,922.25,1
17.25,M,0.52999,0.8819100000000001,0.20297,4,-57.5,6.0009,923.75,1
18.0,M,0.2603,0.98526,0.077541,1,-61.0,0.9203899999999999,922.75,1
18.25,M,0.2603,0.98526,0.077541,4,-57.5,0.08897100000000001,920.25,1
18.75,M,0.2603,0.98526,0.077541,1,-62.5,5.7923,924.25,1
19.0,M,0.2603,0.98526,0.077541,4,-57.5,0.14265999999999998,923.25,1
19.25,M,0.2603,0.98526,0.077541,1,-65.0,4.8903,925.25,1
20.0,M,0.2603,0.98526,0.077541,4,-59.5,0.9587399999999999,925.75,1
20.5,M,0.2603,0.98526,0.077541,1,-60.5,1.9804,921.25,1
21.25,M,0.29548,0.98526,0.11175,4,-57.5,5.8123,920.75,1
22.0,M,0.29548,0.98526,0.11175,1,-64.5,1.7702,925.25,1
22.25,M,0.29548,0.98526,0.11175,4,-57.0,1.7104,921.75,1
22.75,M,0.29548,0.98526,0.11175,4,-57.5,0.7409100000000001,922.75,1
23.0,M,0.29548,0.98526,0.11175,1,-61.0,6.0669,920.25,1
24.0,M,0.27203,0.97377,0.10035,4,-57.5,1.198,922.25,1
24.5,M,0.27203,0.97377,0.10035,4,-58.0,5.9641,923.75,1
24.75,M,0.27203,0.97377,0.10035,1,-61.0,1.5969,921.75,1
25.25,M,0.27203,0.97377,0.10035,1,-60.5,2.0341,921.25,1
25.75,M,0.27203,0.97377,0.10035,4,-58.5,5.0913,924.75,1
26.25,M,0.27203,0.97377,0.10035,4,-57.5,5.9442,920.75,1
26.5,M,0.27203,0.97377,0.10035,4,-57.5,0.33134,923.25,1
26.6,M,0.27203,0.97377,0.10035,1,-61.0,1.3929,922.25,1
27.5,M,0.28376,0.95081,0.10035,1,-61.0,0.7639199999999999,922.75,1
28.0,M,0.28376,0.95081,0.10035,1,-60.5,2.7949,920.25,1
28.5,M,0.28376,0.95081,0.10035,4,-57.5,2.1614,924.25,1
28.75,M,0.28376,0.95081,0.10035,2,-67.5,5.5791,920.75,1
29.25,M,0.28376,0.95081,0.10035,4,-58.5,1.3821,925.25,1
30.0,M,0.24858000000000002,0.98526,0.08894400000000001,1,-60.5,1.1152,922.75,1
30.25,M,0.24858000000000002,0.98526,0.08894400000000001,4,-57.5,0.22855999999999999,920.25,1
30.75,M,0.24858000000000002,0.98526,0.08894400000000001,4,-58.0,1.9911,924.75,1
31.0,M,0.24858000000000002,0.98526,0.08894400000000001,4,-57.5,5.7647,920.75,1
31.25,M,0.24858000000000002,0.98526,0.08894400000000001,4,-57.0,1.149,922.25,1
32.0,M,0.31893,0.95081,0.11175,3,-63.5,5.2431,921.75,1
32.5,M,0.31893,0.95081,0.11175,1,-60.0,2.1399,921.25,1
32.75,M,0.31893,0.95081,0.11175,1,-60.5,6.1068,920.25,1
33.25,M,0.31893,0.95081,0.11175,4,-57.5,5.4702,924.25,1
34.0,M,0.27203,0.97377,0.08894400000000001,1,-65.0,1.8883,925.25,1
34.5,M,0.27203,0.97377,0.08894400000000001,4,-57.0,1.5493,921.75,1
35.0,M,0.27203,0.97377,0.08894400000000001,4,-57.0,5.1588,921.25,1
35.75,M,0.30721,0.98526,0.11175,4,-57.0,5.4027,924.25,1
36.0,M,0.30721,0.98526,0.11175,1,-61.0,2.4145,920.75,1
36.25,M,0.30721,0.98526,0.11175,4,-56.5,1.2333,922.25,1
36.5,M,0.30721,0.98526,0.11175,4,-57.5,6.0163,923.75,1
37.0,M,0.30721,0.98526,0.11175,4,-56.5,1.7288,921.75,1
37.75,M,0.29548,0.98526,0.10035,4,-57.5,6.2387,920.25,1
38.0,M,0.29548,0.98526,0.10035,4,-58.0,1.7395,924.75,1
38.275,M,0.29548,0.98526,0.10035,4,-57.0,5.7003,920.75,1
38.5,M,0.29548,0.98526,0.10035,1,-62.5,0.3114,923.25,1
38.75,M,0.29548,0.98526,0.10035,4,-58.0,1.3821,925.25,1
39.25,M,0.29548,0.98526,0.10035,1,-62.0,6.2709,923.75,1
40.0,M,0.24858000000000002,0.97377,0.10035,4,-57.0,0.27458,920.25,1
40.25,M,0.24858000000000002,0.97377,0.10035,4,-57.5,2.0402,924.75,1
40.75,M,0.24858000000000002,0.97377,0.10035,4,-57.0,5.9426,920.75,1
41.0,M,0.24858000000000002,0.97377,0.10035,1,-61.5,0.40344,923.25,1
41.25,M,0.24858000000000002,0.97377,0.10035,4,-57.0,4.4317,922.25,1
41.5,M,0.24858000000000002,0.97377,0.10035,4,-57.5,6.0301,923.75,1
42.25,M,0.2134,0.99674,0.08894400000000001,4,-57.5,0.77159,922.75,1
42.5,M,0.2134,0.99674,0.08894400000000001,1,-60.5,2.0939,921.25,1
42.75,M,0.2134,0.99674,0.08894400000000001,1,-64.0,5.3244,924.75,1
43.25,M,0.2134,0.99674,0.08894400000000001,1,-60.0,2.4176,920.75,1
43.75,M,0.37756,0.93932,0.11175,1,-61.5,4.3734,925.25,1
44.75,M,0.35411,0.98526,0.11175,1,-60.0,1.195,921.25,1
45.0,M,0.35411,0.98526,0.11175,1,-59.0,1.3392,920.25,1
45.5,M,0.35411,0.98526,0.11175,4,-57.5,5.3873,924.25,1
45.6,M,0.35411,0.98526,0.11175,1,-60.5,0.62126,920.75,1
46.5,M,0.23685,0.97377,0.18017,4,-64.5,2.0034,923.75,1
47.25,M,0.23685,0.97377,0.18017,1,-56.5,5.645,921.25,1
47.5,M,0.23685,0.97377,0.18017,4,-58.0,2.2074,920.25,1
48.25,M,0.51826,0.82449,0.43103,4,-61.0,1.1321,920.75,1
48.5,M,0.51826,0.82449,0.43103,3,-53.5,5.5591,922.25,1
48.75,M,0.69414,0.82449,0.27139,3,-57.0,4.9639999999999995,923.75,1
49.5,M,0.54171,0.7096600000000001,-0.09350499999999999,3,-50.5,5.7524,922.75,1
49.75,M,0.8114,0.52593,0.11175,3,-49.5,5.7033,921.25,1
49.85,M,1.2335,1.0542,0.08894400000000001,3,-49.5,5.0192,921.25,1
50.0,M,0.61207,0.75559,-0.15052000000000001,3,-51.0,4.7799,920.25,1
50.75,M,0.97555,0.22737,0.066138,4,-62.0,3.3533,923.25,3
51.0,M,0.97555,0.22737,0.066138,4,-62.0,0.8145399999999999,922.25,3
51.25,M,1.1045,0.078086,0.11175,3,-51.0,0.11198,923.75,3
51.5,M,0.9872799999999999,-0.10565,-0.070699,4,-61.5,4.5452,921.75,3
51.575,M,0.9872799999999999,-0.10565,-0.070699,4,-62.0,4.0083,921.75,3
51.75,M,0.9872799999999999,-0.10565,-0.070699,4,-62.5,6.1881,922.75,3
52.0,M,0.9872799999999999,-0.10565,-0.070699,4,-64.5,0.8528899999999999,921.25,3
52.5,M,0.9403799999999999,-0.036746,-0.11631,4,-66.5,3.6325,924.75,3
53.0,M,0.9872799999999999,0.066602,-0.070699,4,-63.5,1.1551,920.75,3
53.25,M,1.1866,-0.082679,0.0091224,4,-63.5,5.8138,922.25,3
53.75,M,0.9990100000000001,0.066602,-0.059296,4,-64.5,0.082835,921.75,3
54.0,M,0.9990100000000001,0.066602,-0.059296,4,-68.0,5.7586,925.75,3
54.5,M,1.1866,-0.059712,0.043332,4,-64.0,0.65961,921.25,3
54.75,M,1.1866,-0.059712,0.043332,4,-63.5,1.6429,920.25,3
55.75,M,0.9403799999999999,0.066602,-0.070699,4,-63.5,5.8491,922.25,3
56.0,M,0.9403799999999999,0.066602,-0.070699,4,-67.0,6.0746,925.25,3
57.0,M,0.9521,0.05511900000000001,-0.059296,4,-63.0,0.66728,921.25,3
57.25,M,0.9052,0.043636,-0.10490999999999999,4,-66.0,0.27918000000000004,924.75,3
57.75,M,1.1163,-0.0022965999999999998,0.0091224,4,-63.5,4.3396,920.75,3
58.25,M,1.0694,0.020669999999999997,-0.036489999999999995,4,-63.5,5.9365,922.25,3
58.5,M,1.0694,0.020669999999999997,-0.036489999999999995,4,-66.5,6.1497,925.25,3
58.75,M,0.9403799999999999,0.05511900000000001,-0.082102,3,-51.0,4.4654,921.75,3
59.0,M,0.9403799999999999,0.05511900000000001,-0.082102,4,-63.5,0.08897100000000001,921.75,3
59.25,M,0.9403799999999999,0.05511900000000001,-0.082102,4,-64.0,2.1767,922.75,3
59.5,M,1.2687,-0.082679,0.066138,4,-64.0,4.7201,920.25,3
60.0,M,0.9521,0.05511900000000001,-0.082102,4,-66.5,0.21783000000000002,924.75,3
60.25,M,0.9521,0.05511900000000001,-0.082102,3,-51.0,5.0775,920.75,3
60.325,M,0.9052,0.05511900000000001,-0.082102,4,-63.0,1.0646,920.75,3
60.75,M,1.0107,0.05511900000000001,-0.082102,3,-51.0,1.0477,922.25,3
60.825,M,1.0107,0.05511900000000001,-0.082102,4,-67.0,6.0393,925.25,3
61.25,M,0.9403799999999999,0.066602,-0.070699,3,-51.0,4.4547,921.75,3
61.325,M,0.9403799999999999,0.066602,-0.070699,4,-63.0,0.013806,921.75,3
61.5,M,0.9403799999999999,0.066602,-0.070699,4,-63.0,5.2692,922.75,3
62.0,M,0.9169299999999999,0.066602,-0.082102,4,-63.0,3.68,921.25,3
62.1,M,0.9169299999999999,0.066602,-0.082102,4,-63.5,1.5647,920.25,3
62.75,M,1.2804,-0.082679,0.066138,3,-51.0,5.0361,920.75,3
62.825,M,1.2804,-0.082679,0.066138,3,-51.0,5.0514,920.75,3
62.875,M,1.2804,-0.082679,0.066138,3,-50.5,5.0483,920.75,3
63.0,M,1.0928,0.020669999999999997,-0.025087,4,-63.5,1.5662,923.25,3
63.5,M,1.0342,0.05511900000000001,-0.059296,4,-64.0,4.2568,923.75,3
64.25,M,0.9169299999999999,0.05511900000000001,-0.082102,4,-63.5,2.0923,922.75,3
64.35,M,0.9169299999999999,0.05511900000000001,-0.082102,4,-63.5,0.5415,921.25,3
64.5,M,0.9169299999999999,0.05511900000000001,-0.082102,4,-63.5,1.5386,920.25,3
64.75,M,0.9169299999999999,0.05511900000000001,-0.082102,4,-66.5,0.19788,924.75,3
65.25,M,1.2218,-0.059712,0.043332,3,-51.0,5.0606,920.75,3
65.375,M,1.2218,-0.059712,0.043332,4,-63.5,1.0845,920.75,3
65.5,M,0.92865,0.05511900000000001,-0.082102,4,-63.0,2.6384,922.25,3
66.75,M,1.2804,-0.082679,0.054735,3,-51.0,4.7308,921.25,3
66.825,M,1.2804,-0.082679,0.054735,3,-50.5,4.7369,921.25,3
66.875,M,1.2804,-0.082679,0.054735,4,-62.5,3.6708,921.25,3
67.5,M,1.2804,-0.082679,0.054735,4,-64.5,0.60132,924.25,3
67.75,M,1.2804,-0.082679,0.054735,4,-62.5,1.0431,920.75,3
67.825,M,1.2804,-0.082679,0.054735,4,-63.0,1.5739,923.25,3
68.0,M,1.2804,-0.082679,0.054735,4,-63.0,2.5694,922.25,3
